80 1.6 Specs; 1989; 69; 1595cm3(97.3 cu-in)
80 1.6 Specs; 1993; 102; 1595cm3(97.3 cu-in)
1.8 Specs; 1986; 85; 1781cm3(108.7 cu-in)
